CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
ARSON,12/29/2020 04:30:00 AM,20-063520,MAL SET/ETC FIRE PROP/ETC,08X,3800 SHAFTER AV,Oakland,CA,
,02/28/2021 12:25:00 AM,21-009451,BATTERY,26X,4400 INTERNATIONAL BLVD,Oakland,CA,
,02/14/2021 08:30:00 AM,21-007193,EXHIBIT FIREARM,23X,1700 36TH AV,Oakland,CA,
STOLEN VEHICLE,12/24/2020 06:00:00 PM,20-063146,VEHICLE THEFT - AUTO,11X,5400 DOVER ST,Oakland,CA,
BURG - AUTO,02/13/2021 11:00:00 PM,21-902264,BURGLARY-AUTO,30Y,2600 76TH AV,Oakland,CA,
BURG - COMMERCIAL,12/21/2020 04:00:00 AM,20-062297,BURGLARY-FORCIBLE ENTRY,31Y,100 98TH AV,Oakland,CA,
BURG - AUTO,01/19/2021 08:33:00 PM,21-002974,BURGLARY-AUTO,33X,8200 D ST,Oakland,CA,
ROBBERY,12/28/2020 04:33:00 PM,20-063402,VEHICLE THEFT - AUTO,35X,9200 MACARTHUR BLVD,Oakland,CA,
FORCIBLE RAPE,10/18/2020 10:30:00 PM,20-059395,SEXUAL BATTERY FOR THE PURPOSE OF SEXUAL AROUSAL,01X,00 EMBARCADERO WEST,Oakland,CA,
BURG - OTHER,01/11/2021 09:45:00 PM,21-001799,BATTERY ON PEACE OFFICER/EMERGENCY PERSONNEL/ETC,03X,900 FALLON ST,Oakland,CA,
,02/22/2021 12:47:00 PM,21-008526,FELON/ADDICT/POSSESS/OWN/ETC FIREARM,99X,2300 ABERDEEN WY,Oakland,CA,
BURG - AUTO,01/08/2021 11:19:00 PM,21-001254,BURGLARY-AUTO,09X,4100 TERRACE ST,Oakland,CA,
DOMESTIC VIOLENCE,06/13/2020 10:40:00 PM,21-003549,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,27X,2000 47TH AV,Oakland,CA,
FORGERY & COUNTERFEITING,01/20/2021 01:30:00 PM,21-901008,MAIL/ETC THEFT/ETC,23X,4000 SAN LEANDRO ST,Oakland,CA,
MISDEMEANOR ASSAULT,01/07/2021 03:00:00 PM,21-001055,BATTERY,24X,2200 38TH AV,Oakland,CA,
STOLEN VEHICLE,01/05/2021 11:50:00 PM,21-900512,ATTEMPT VEHICLE THEFT-AUTO,24X,2200 ROSEDALE AV,Oakland,CA,
STOLEN VEHICLE,11/26/2020 10:30:00 PM,20-058258,VEHICLE THEFT - AUTO,20X,1800 27TH AV,Oakland,CA,
BURG - AUTO,12/07/2020 06:30:00 PM,20-920404,BURGLARY-AUTO,77X,HOLLY ST,Oakland,CA,
BURG - AUTO,12/01/2020 06:40:00 PM,20-920122,BURGLARY-AUTO,04X,2000 FRANKLIN ST,Oakland,CA,
FRAUD,12/02/2020 12:00:00 AM,20-059030,USE OTHERS ID:CREDIT/ETC,07X,2200 POPLAR ST,Oakland,CA,
VANDALISM,02/15/2021 12:00:00 PM,21-902140,VANDALISM,11X,600 ALCATRAZ AV,Oakland,CA,
FORGERY & COUNTERFEITING,02/05/2021 12:05:00 PM,21-901982,THEFT BY USE OF ACCESS CARD,04X,500 16TH ST,Oakland,CA,
FELONY ASSAULT,01/05/2021 09:44:00 PM,21-000752,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,21Y,2300 FRUITVALE AV,Oakland,CA,
FELONY ASSAULT,01/01/2021 02:00:00 AM,21-000020,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,31Y,400 DARIEN AV,Oakland,CA,
VANDALISM,01/27/2021 08:30:00 AM,21-901514,VANDALISM,77X,MACARTHUR BLVD,Oakland,CA,
WEAPONS,01/02/2021 07:24:00 PM,21-000268,CARRY LOADED FIREARM ON/IN PERSON/VEH: PUBLIC PLACE,02Y,1100 WOOD ST,Oakland,CA,
VANDALISM,01/30/2021 11:25:00 AM,21-901476,VANDALISM,77X,SKYLINE BLVD,Oakland,CA,
OTHER,01/17/2021 06:20:00 PM,21-002683,UNLICENSED DRIVER,35X,9700 MACARTHUR BLVD,Oakland,CA,
FORGERY & COUNTERFEITING,11/18/2020 09:25:00 AM,21-901267,MAIL/ETC THEFT/ETC,32Y,9800 MACARTHUR BLVD,Oakland,CA,
PETTY THEFT,11/01/2020 12:00:00 AM,21-002897,THEFT,03Y,400 7TH ST,Oakland,CA,
MISDEMEANOR ASSAULT,12/14/2020 04:00:00 AM,20-061137,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,16X,1100 PORTAL AV,Oakland,CA,
STOLEN VEHICLE,01/02/2021 10:00:00 AM,21-000295,VEHICLE THEFT - AUTO,20X,2900 INTERNATIONAL BLVD,Oakland,CA,
,02/25/2021 03:00:00 PM,21-009036,BATTERY,02Y,900 CHESTER ST.,Oakland,CA,
STOLEN VEHICLE,12/19/2020 06:00:00 PM,20-062541,VEHICLE THEFT - AUTO,19X,1400 15TH AV,Oakland,CA,
FORCIBLE RAPE,11/30/2020 09:20:00 AM,20-058691,KIDNAPPING,14Y,600 JEAN ST,Oakland,CA,
ROBBERY,02/17/2021 09:45:00 AM,21-007703,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",04X,300 20TH ST,Oakland,CA,
THREATS,12/13/2020 12:39:00 AM,20-060966,VANDALISM:DEFACE PROPERTY,31Y,200 MAKIN RD,Oakland,CA,
OTHER,12/06/2020 01:19:00 AM,20-059760,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,19X,1400 20TH AV,Oakland,CA,
VANDALISM,02/04/2021 03:00:00 AM,21-901697,VANDALISM,09X,00 GLEN AV,Oakland,CA,
VANDALISM,01/12/2021 07:30:00 PM,21-900590,VANDALISM,19X,100 INTERNATIONAL BLVD,Oakland,CA,
PETTY THEFT,11/30/2020 12:00:00 AM,20-059209,THEFT,30Y,2600 73RD AV,Oakland,CA,
ROBBERY,12/25/2020 10:55:00 AM,20-063096,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",19X,500 E 12TH ST,Oakland,CA,
MISDEMEANOR ASSAULT,12/03/2020 11:05:00 AM,20-059217,VANDALISM-$400+,27X,5300 FAIRFAX AV,Oakland,CA,
STOLEN VEHICLE,12/03/2020 08:00:00 AM,20-060582,VEHICLE THEFT - AUTO,27X,2100 51ST AV,Oakland,CA,
DOMESTIC VIOLENCE,12/11/2020 09:42:00 PM,20-060796,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,27X,2100 50TH AV,Oakland,CA,
PETTY THEFT,12/21/2020 12:50:00 PM,20-062377,THEFT,33X,900 85TH AV,Oakland,CA,
FELONY ASSAULT,12/13/2020 11:59:00 PM,20-060957,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,19X,1600 E 15TH ST,Oakland,CA,
,02/28/2021 02:25:00 PM,21-009541,THREAT CRIME:INT:TERRORIZE,29X,6100 FOOTHILL BLVD,Oakland,CA,
HOMICIDE,02/15/2021 10:04:00 AM,21-007352,SC UNEXPLAINED DEATH,27X,2500 HIGH ST,Oakland,CA,
OTHER,02/07/2021 05:39:00 PM,21-006067,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,27Y,2400 64TH AV,Oakland,CA,
OTHER,12/09/2020 10:30:00 PM,20-060467,SC UNEXPLAINED DEATH,08X,500 31ST ST,Oakland,CA,
FORCIBLE RAPE,01/20/2021 08:00:00 PM,21-008206,RAPE:VICTIM INCAPABLE OF GIVING CONSENT,27X,5100 FOOTHILL BLVD,Oakland,CA,
THREATS,02/17/2021 08:00:00 PM,21-007843,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,26Y,6200 EASTLAWN ST,Oakland,CA,
VANDALISM,01/25/2021 06:00:00 PM,21-901272,VANDALISM,09X,3500 KEMPTON WY,Oakland,CA,
VANDALISM,12/06/2020 05:26:00 AM,20-059775,VANDALISM,14Y,300 SANTA CLARA AV,Oakland,CA,
BURG - AUTO,01/09/2021 06:30:00 PM,21-001518,BURGLARY-AUTO,04X,600 W GRAND AV,Oakland,CA,
GRAND THEFT,02/15/2021 10:00:00 AM,21-902195,THEFT,17X,400 E 18TH ST,Oakland,CA,
VANDALISM,12/10/2020 06:40:00 PM,20-060606,VANDALISM,02X,800 FILBERT ST,Oakland,CA,
WEAPONS,02/21/2021 08:40:00 PM,21-008395,POSS/ETC FIREARM W/PR VIOLENT OFFENSE CONVICTION,02Y,700 CENTER ST,Oakland,CA,
VANDALISM,02/18/2021 09:30:00 AM,21-902495,VANDALISM,02Y,1600 13TH ST,Oakland,CA,
FRAUD,08/22/2014 03:50:00 PM,20-920854,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,31X,7000 COLISEUM WY,Oakland,CA,
BURG - RESIDENTIAL,09/26/2019 10:47:00 AM,19-050155,BURGLARY-FORCIBLE ENTRY,32Y,2800 99TH AV,Oakland,CA,
STOLEN VEHICLE,01/01/2021 08:30:00 PM,21-000349,VEHICLE THEFT - AUTO,34X,1900 AUSEON AV,Oakland,CA,
,11/03/2020 01:20:00 PM,20-920778,THEFT BY USE OF ACCESS CARD,,4200 FOOTHILL BLVD,Oakland,CA,
STOLEN VEHICLE,02/04/2021 10:00:00 PM,21-005718,VEHICLE THEFT - AUTO,03Y,1300 JEFFERSON ST,Oakland,CA,
GRAND THEFT,12/23/2020 04:34:00 PM,20-062717,GRAND THEFT:MONEY/LABOR/PROPERTY  OVER $400,21Y,3200 FOOTHILL BLVD,Oakland,CA,
OTHER,01/18/2021 08:12:00 PM,21-002835,KIDNAPPING,01X,5TH ST & BROADWAY,Oakland,CA,
DOMESTIC VIOLENCE,12/20/2020 12:00:00 PM,20-063444,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,27X,2500 HIGH ST,Oakland,CA,
ARSON,01/01/2021 11:58:00 PM,21-000324,VEHICLE THEFT - AUTO,23X,4000 ALAMEDA AV,Oakland,CA,
OTHER,02/07/2021 01:00:00 AM,21-901843,MAIL/ETC THEFT/ETC,26Y,800 71ST AV,Oakland,CA,
,02/28/2021 04:00:00 PM,21-009537,DAMAGE/DESTROY ANY WIRELESS COMMUNICATION DEVICE,07X,1200 30TH ST,Oakland,CA,
WEAPONS,12/10/2020 03:38:00 PM,20-060575,CARRY LOADED FIREARM W/PRIOR FELONY CONVICTION,04X,2000 BROADWAY,Oakland,CA,
MISDEMEANOR ASSAULT,02/23/2021 12:20:00 PM,21-902281,ASSAULT,21X,2300 E 24TH ST,Oakland,CA,
BURG - AUTO,02/05/2021 01:00:00 PM,21-901772,BURGLARY-AUTO,01X,200 CLAY ST,Oakland,CA,
OTHER,01/24/2021 05:00:00 PM,21-003931,DESTROY/CONCEAL EVIDENCE,22X,3400 LAGUNA AV,Oakland,CA,
PETTY THEFT,02/08/2021 08:00:00 PM,21-006465,THEFT,26Y,800 70TH AV,Oakland,CA,
VANDALISM,11/28/2020 10:00:00 PM,20-058668,VANDALISM,33X,1200 96TH AV,Oakland,CA,
PETTY THEFT,02/04/2021 08:00:00 AM,21-005556,THEFT,35X,9200 HILLSIDE ST,Oakland,CA,
FORCIBLE RAPE,01/16/2021 12:00:00 AM,21-002803,THEFT,77X,UNKNOWN ENCAMPMENT,Oakland,CA,
BURG - RESIDENTIAL,12/01/2020 12:42:00 AM,20-058803,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,31Z,600 EL PASEO DR,Oakland,CA,
STOLEN VEHICLE,01/27/2021 01:00:00 PM,21-004261,VEHICLE THEFT - AUTO,21Y,3100 FRUITVALE AV,Oakland,CA,
,02/18/2021 07:15:00 PM,21-902479,THEFT,,SAMARIA LANE,Oakland,CA,
WEAPONS,02/23/2021 07:47:00 PM,21-008748,PROHIBITED POSSESS AMMUNITION OR RELOADED AMMUNITION,02Y,800 CAMPBELL ST,Oakland,CA,
STOLEN VEHICLE,01/10/2021 06:50:00 AM,21-001537,VEHICLE THEFT - AUTO,26Y,1100 61ST AV,Oakland,CA,
OTHER,02/01/2020 08:00:00 AM,21-007902,SC ELDER ABUSE,13Z,6900 PASO ROBLES DR,Oakland,CA,
BURG - RESIDENTIAL,10/06/2020 06:00:00 PM,20-049853,BURGLARY-NO FORCE,20X,2900 E 7TH ST,Oakland,CA,
BURG - COMMERCIAL,11/12/2020 03:25:00 AM,20-055688,BURGLARY-FORCIBLE ENTRY,23X,3200 FOOTHILL BLVD,Oakland,CA,
,02/26/2021 02:04:00 AM,21-009094,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,27X,1400 45TH AV,Oakland,CA,
MISDEMEANOR ASSAULT,08/26/2020 09:23:00 PM,20-042626,BATTERY,08X,3000 BROADWAY,Oakland,CA,
PETTY THEFT,12/06/2020 10:00:00 PM,20-059979,THEFT,77X,3800 TURQUISE WY,Oakland,CA,
STOLEN VEHICLE,01/06/2021 08:00:00 AM,21-001752,VEHICLE THEFT - AUTO,14Y,100 SANTA ROSA AV,Oakland,CA,
MISDEMEANOR ASSAULT,12/21/2020 07:50:00 AM,20-920961,BATTERY,03X,200 13TH ST,Oakland,CA,
VANDALISM,01/31/2021 03:00:00 AM,21-004818,VANDALISM,19X,1200 LAKESHORE AV,Oakland,CA,
DOMESTIC VIOLENCE,02/02/2021 11:09:00 PM,21-005286,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,06X,800 W MACARTHUR BLVD,Oakland,CA,
RECOVERED O/S STOLEN,01/19/2021 10:50:00 AM,21-002899,VEHICLE THEFT - AUTO,06X,700 APGAR ST,Oakland,CA,
BURG - AUTO,12/03/2020 07:55:00 PM,20-920237,BURGLARY-AUTO,04X,00 GRAND AV,Oakland,CA,
,02/22/2021 01:53:00 PM,21-008616,THREAT CRIME:INT:TERRORIZE,35X,2700 ALVINGROOM CT,Oakland,CA,
VANDALISM,02/22/2021 01:39:00 AM,21-902340,VANDALISM,25Y,00 KNOLL RIDGE WY,Oakland,CA,
STOLEN VEHICLE,12/12/2020 08:00:00 AM,20-061505,VEHICLE THEFT - AUTO,12X,400 43RD ST,Oakland,CA,
DOMESTIC VIOLENCE,01/21/2021 09:00:00 PM,21-003419,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,26Y,1300 81ST AV,Oakland,CA,
OTHER,12/24/2020 02:23:00 PM,21-900154,MAIL/ETC THEFT/ETC,21Y,2000 AUSTIN ST,Oakland,CA,
RECOVERED O/S STOLEN,01/13/2021 04:03:00 AM,21-001985,VEHICLE THEFT - AUTO,23X,1100 35TH AV,Oakland,CA,
FRAUD,12/05/2020 04:10:00 AM,20-921311,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,19X,1200 23RD AV,Oakland,CA,
FELONY ASSAULT,01/31/2021 10:44:00 PM,21-004939,ASSAULT WITH FIREARM ON PERSON,05X,2100 FILBERT ST,Oakland,CA,
VANDALISM,11/24/2020 08:30:00 PM,20-919905,VANDALISM,08X,500 24TH ST,Oakland,CA,
ROBBERY,12/05/2020 12:00:00 AM,20-059529,ROBBERY-FIREARM,31Y,98TH AV & EDES AV,Oakland,CA,
MISDEMEANOR ASSAULT,12/20/2020 06:00:00 PM,21-900626,BATTERY AGAINST POLICE OFFICER,99X,00 WOOD ST,Oakland,CA,
THREATS,01/02/2021 10:45:00 AM,20-000202,TRESPASS:OCCUPY PROPERTY W/O CONSENT,02Y,1400 7TH ST,Oakland,CA,
VANDALISM,12/08/2020 03:00:00 PM,20-920763,VANDALISM,13Z,1900 MAGELLAN DR,Oakland,CA,
MISDEMEANOR ASSAULT,02/06/2021 12:21:00 AM,21-005824,BATTERY,25X,4800 MACARTHUR BLVD,Oakland,CA,
STOLEN VEHICLE,12/07/2020 09:30:00 AM,20-061185,VEHICLE THEFT - AUTO,14X,200 PERKINS ST,Oakland,CA,
BURG - AUTO,01/14/2021 07:00:00 PM,21-900801,BURGLARY-AUTO,12X,5000 MANILA AV,Oakland,CA,
VANDALISM,02/12/2021 03:00:00 PM,21-902296,VANDALISM,25X,4400 HYACINTH AV,Oakland,CA,
THREATS,12/17/2020 07:19:00 PM,20-061740,THEFT,30Y,7200 BANCROFT AV,Oakland,CA,
STOLEN VEHICLE,01/04/2021 07:00:00 PM,21-000732,VEHICLE THEFT - AUTO,21Y,3200 FOOTHILL BLVD,Oakland,CA,
WEAPONS,12/07/2020 05:43:00 PM,20-060043,POSSESS/BUY/ETC FIREARM W/O IDENTIFICATION MARK,26Y,1100 79TH AV,Oakland,CA,
STOLEN VEHICLE,12/18/2020 08:45:00 PM,20-062355,VEHICLE THEFT - AUTO,21Y,2200 FRUITVALE AV,Oakland,CA,
DOMESTIC VIOLENCE,02/03/2021 06:01:00 PM,21-005446,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,30X,7600 WELD ST,Oakland,CA,
BURG - AUTO,01/06/2021 03:15:00 PM,21-900224,BURGLARY-AUTO,22Y,10500 SKYLINE BLVD,Oakland,CA,
MISDEMEANOR ASSAULT,02/17/2021 11:48:00 PM,21-007626,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,33X,1000 ELMHURST AV,Oakland,CA,
VANDALISM,02/13/2021 09:04:00 AM,21-007043,VANDALISM [UNDER $400],30X,7600 LOCKWOOD ST,Oakland,CA,
,02/22/2021 12:45:00 AM,21-008419,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,17Y,1400 E 31ST STREET,Oakland,CA,
STOLEN VEHICLE,12/25/2020 07:45:00 PM,20-063068,VEHICLE THEFT - AUTO,05X,1100 14TH ST,Oakland,CA,
BURG - AUTO,01/12/2021 12:15:00 PM,21-900544,BURGLARY-AUTO,22Y,3300 JOAQUIN MILLER RD,Oakland,CA,
HOMICIDE,11/24/2020 01:15:00 PM,20-058265,SC UNEXPLAINED DEATH,20X,1000 23RD AV,Oakland,CA,
BURG - AUTO,12/04/2020 10:41:00 PM,20-920450,BURGLARY-AUTO,77X,1900 GRAND,Oakland,CA,
STOLEN VEHICLE,02/08/2021 02:55:00 AM,21-006181,VEHICLE THEFT - AUTO,16X,500 SANTA RAY AV,Oakland,CA,
OTHER SEX OFFENSES,02/19/2021 07:50:00 PM,21-008066,ROBBERY-FIREARM,21X,2600 E 27TH ST,Oakland,CA,
NARCOTICS,08/13/2020 01:00:00 PM,20-038992,SELL/GIVE/TRANSPORT/ETC MARIJUANA,19X,1200 10TH AV,Oakland,CA,
MISDEMEANOR ASSAULT,02/05/2021 06:03:00 AM,21-005693,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,04X,2100 MARTIN LUTHER KING JR W,Oakland,CA,
BURG - RESIDENTIAL,12/24/2020 01:20:00 AM,20-921148,BURGLARY-FORCIBLE ENTRY,22X,3400 BOSTON AV,Oakland,CA,
FELONY ASSAULT,01/18/2021 04:43:00 PM,21-002815,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,21Y,3100 SCHOOL ST,Oakland,CA,
MISDEMEANOR ASSAULT,12/21/2020 10:50:00 AM,20-062359,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,27Y,6300 INTERNATIONAL BLVD,Oakland,CA,
VANDALISM,11/27/2020 06:15:00 PM,20-919986,VANDALISM,14Y,1000 WALKER AV,Oakland,CA,
OTHER,12/01/2020 03:01:00 PM,20-058893,FEL-SEX OFFENDER FAIL UPDATE ANNUAL REG,03Y,400 7TH ST,Oakland,CA,
DOMESTIC VIOLENCE,01/30/2021 05:53:00 PM,21-004757,VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE,08X,300 OAKLAND AV,Oakland,CA,
PETTY THEFT,01/26/2021 07:33:00 AM,21-003954,THEFT,23X,4000 ALAMEDA AV,Oakland,CA,
FELONY ASSAULT,01/19/2021 05:31:00 PM,21-002947,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,33X,8300 A ST,Oakland,CA,
GRAND THEFT,12/16/2020 08:15:00 PM,20-920801,GRAND THEFT,14X,200 BAY PL,Oakland,CA,
ROBBERY,01/17/2021 11:55:00 AM,21-002631,ROBBERY-FIREARM,34X,9000 HOLLY ST,Oakland,CA,
VANDALISM,01/31/2021 03:05:00 PM,21-004882,VANDALISM,23X,1200 38TH AV,Oakland,CA,
NARCOTICS,02/25/2021 12:38:00 PM,21-008997,POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA,33X,8200 INTERNATIONAL BLVD,Oakland,CA,
OTHER,02/06/2021 02:31:00 PM,21-901803,MAIL/ETC THEFT/ETC,08X,2300 BROADWAY,Oakland,CA,
FELONY ASSAULT,02/07/2021 12:58:00 PM,21-006026,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,35X,9800 GOLF LINKS RD,Oakland,CA,
ROBBERY,12/24/2020 03:34:00 PM,20-062849,ROBBERY-FIREARM,05X,900 W GRAND AV,Oakland,CA,
TOWED VEHICLE,12/02/2020 10:30:00 AM,20-059045,VEHICLE THEFT - AUTO,30X,6800 FLORA ST,Oakland,CA,
WEAPONS,12/30/2020 05:52:00 PM,20-046260,CARRY LOADED HANDGUN: NOT REG OWNER,17X,1600 11TH AV,Oakland,CA,
VANDALISM,01/29/2021 06:42:00 PM,21-901664,VANDALISM,06X,39TH ST & MARTIN LUTHER KING JR WY,Oakland,CA,
VANDALISM,02/03/2021 02:30:00 AM,21-901633,VANDALISM,25X,4100 HARBOR VIEW AV,Oakland,CA,
STOLEN VEHICLE,11/21/2020 01:33:00 PM,20-057293,VEHICLE THEFT - AUTO,17X,1000 FOOTHILL BLVD,Oakland,CA,
STOLEN VEHICLE,01/01/2021 12:30:00 AM,21-000064,VEHICLE THEFT - AUTO,20X,1400 27TH AV,Oakland,CA,
DOMESTIC VIOLENCE,02/03/2021 12:35:00 AM,21-005296,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,20X,2300 FOOTHILL BLVD,Oakland,CA,
BURG - AUTO,11/23/2020 09:00:00 PM,20-919796,BURGLARY-AUTO,01X,100 EMBARCADERO,Oakland,CA,
ROBBERY,01/26/2021 09:00:00 PM,21-004537,CARJACKING WITH FIREARM,30X,1500 77TH AV,Oakland,CA,
STOLEN VEHICLE,12/01/2020 08:00:00 PM,20-059388,VEHICLE THEFT - AUTO,26Y,1100 75TH AV,Oakland,CA,
RECOVERED O/S STOLEN,12/08/2020 02:21:00 AM,20-060083,VEHICLE THEFT - AUTO,14X,300 GRAND AV,Oakland,CA,
VANDALISM,12/18/2020 08:56:00 AM,20-921010,VANDALISM,23X,4200 INTERNATIONAL BLVD,Oakland,CA,
FELONY ASSAULT,11/30/2020 08:19:00 PM,20-058779,EXHIBIT FIREARM,01X,400 4TH ST,Oakland,CA,
OTHER,12/19/2020 03:35:00 PM,20-920913,MAIL/ETC THEFT/ETC,28X,2900 KINGSLAND AV,Oakland,CA,
GRAND THEFT,11/25/2020 04:30:00 PM,20-919921,GRAND THEFT,99X,1500 40TH ST,Oakland,CA,
ROBBERY,01/09/2021 06:45:00 PM,21-001467,ROBBERY-FIREARM,12Y,CHABOT RD & PATTON ST,Oakland,CA,
DOMESTIC VIOLENCE,02/22/2021 08:00:00 PM,21-008587,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,26Y,1200 60TH AV,Oakland,CA,
PETTY THEFT,12/18/2020 12:00:00 AM,20-061763,THEFT,03Y,700 6TH ST,Oakland,CA,
BURG - OTHER,01/20/2021 11:26:00 PM,21-901145,BURGLARY-NO FORCE,02X,1200 7TH ST,Oakland,CA,
OTHER,02/14/2021 05:00:00 PM,21-007249,VIOLATE PROTECTIVE ORDER:DOMESTIC VIOLENCE:W/PRIOR,03Y,400 7TH ST,Oakland,CA,
,02/23/2021 04:19:00 PM,21-008732,ATTEMPT VEHICLE THEFT-AUTO,18X,2200 E-21ST ST.,Oakland,CA,
PETTY THEFT,11/04/2020 11:21:00 AM,20-920082,THEFT,32Y,10700 MACARTHUR BLVD,Oakland,CA,
OTHER SEX OFFENSES,02/01/2020 09:00:00 AM,20-061677,SEXUAL BATTERY,26X,1300 49TH AV,Oakland,CA,
PETTY THEFT,02/11/2021 07:00:00 PM,21-006810,THEFT,09X,600 OAKLAND AV,Oakland,CA,
VANDALISM,02/02/2021 12:20:00 PM,21-901584,VANDALISM,17Y,3100 STUART ST,Oakland,CA,
GRAND THEFT,01/23/2021 03:45:00 PM,21-003574,GRAND THEFT,26X,400 HIGH ST,Oakland,CA,
BURG - AUTO,11/27/2020 08:10:00 PM,20-919945,BURGLARY-AUTO,12X,4300 TELEGRAPH AV,Oakland,CA,
ARSON,01/07/2021 09:56:00 PM,21-001101,VEHICLE THEFT - AUTO,34X,1500 92ND AV,Oakland,CA,
PETTY THEFT,01/24/2021 12:30:00 AM,21-901163,THEFT,12X,300 50TH ST,Oakland,CA,
FELONY ASSAULT,12/29/2020 10:01:00 AM,20-063493,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,27X,5100 FOOTHILL BLVD,Oakland,CA,
VANDALISM,12/22/2020 12:00:00 PM,20-062757,VANDALISM,07X,1100 34TH ST,Oakland,CA,
STOLEN VEHICLE,10/14/2020 05:30:00 AM,20-050960,VEHICLE THEFT - AUTO,25X,4800 DAVENPORT AV,Oakland,CA,
PETTY THEFT,01/06/2021 12:45:00 PM,21-000843,STEAL FROM DEPENDENT/ELDER ADULT (UNDER $400),10X,900 63RD ST,Oakland,CA,
VANDALISM,01/18/2021 04:56:00 AM,21-002734,VANDALISM,23X,3900 INTERNATIONAL BLVD,Oakland,CA,
BURG - AUTO,01/24/2021 03:00:00 PM,21-900917,BURGLARY-AUTO,22Y,3500 SANBORN DR,Oakland,CA,
NARCOTICS,01/23/2021 05:26:00 PM,21-003585,POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA,15X,400 STOW AV,Oakland,CA,
MISDEMEANOR ASSAULT,11/19/2020 01:30:00 AM,20-056898,BATTERY,17X,2000 8TH AV,Oakland,CA,
FELONY ASSAULT,07/23/2020 10:08:00 PM,20-036314,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,20X,2900 INTERNATIONAL BLVD,Oakland,CA,
HOMICIDE,01/14/2021 10:18:00 AM,21-002194,SC UNEXPLAINED DEATH,21Y,2800 FRUITVALE AV,Oakland,CA,
FELONY ASSAULT,12/04/2020 10:28:00 PM,20-059500,ASSAULT WITH FIREARM ON PERSON,19X,1400 20TH AV,Oakland,CA,
ROBBERY,12/31/2020 10:10:00 PM,20-063914,PROHIBITED POSSESS AMMUNITION OR RELOADED AMMUNITION,99X,2400 BERKSHIRE LANE,Oakland,CA,
FELONY ASSAULT,02/07/2021 09:26:00 AM,21-006005,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,23X,1800 41ST AV,Oakland,CA,
MISDEMEANOR ASSAULT,01/01/2021 03:43:00 PM,21-000104,DISTURB THE PEACE,03Y,400 7TH ST,Oakland,CA,
STOLEN VEHICLE,01/07/2021 12:00:00 PM,21-001134,VEHICLE THEFT - AUTO,19X,1100 6TH AV,Oakland,CA,
OTHER,12/18/2020 03:00:00 PM,20-061859,CONTEMPT OF COURT:DISOBEY COURT ORDER/ETC,09X,VIEW PL & MONTGOMERY ST,Oakland,CA,
FELONY ASSAULT,01/30/2021 08:34:00 PM,21-004774,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,17Y,900 E 24TH ST,Oakland,CA,
NARCOTICS,01/02/2021 01:11:00 PM,21-000218,POSSESS NARCOTIC CONTROLLED SUBSTANCE,01X,00 4TH ST,Oakland,CA,
VANDALISM,05/19/2020 01:54:00 PM,20-024875,VANDALISM:DAMAGE PROPERTY,30X,69TH AV & WELD ST,Oakland,CA,
STOLEN VEHICLE,02/18/2021 08:00:00 AM,21-007953,VEHICLE THEFT - AUTO,16Y,3800 GLEN PARK RD,Oakland,CA,
